31;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;60.3500;24.3800;21.2900;42.9600;32.9900;36.4200;27.8200;7.0900;4.9700;8.2300;5.9200;40.3900;14.0900;37.9000;45.8500;42.1500;12.6800;16.1000;39.7500;0.0000;77.5900;21.4300;21.4300;14.7800;9.5200;0.9900;28.4400;23.9900;9.7200;16.9000;33.6400;39.4000;45.7900;38.2500;21.4300;45.8200;40.2000;64.8900;54.1300;31.4700;47.3300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300;1.4300
32;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;111.4200;85.1400;82.0500;70.5400;93.7500;96.2500;88.5800;70.5000;73.5300;77.6600;71.9300;108.3500;74.8500;107.2100;112.8400;110.0500;73.3800;85.6400;107.8100;77.5900;0.0000;82.3400;82.3400;84.3500;84.1900;77.3500;100.2500;93.5600;74.5700;90.0300;84.9300;107.3000;109.2100;99.0100;82.3400;106.5800;108.8300;51.9300;37.3300;92.2300;60.0700;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200;76.7200
33;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;42.8000;6.7600;5.1200;41.4300;15.3700;18.8700;10.2000;26.0810;24.6110;17.3600;24.9110;29.8800;7.4900;28.6000;34.4600;31.5800;9.3300;8.3300;29.3400;21.4300;82.3400;0.0000;0.0000;6.8000;13.9300;21.0600;26.2400;19.5500;17.0500;18.4100;16.3100;28.8300;31.0200;20.5400;0.0000;28.2700;29.8300;63.0000;50.1600;13.9200;45.4400;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600
34;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;42.8000;6.7600;5.1200;41.4300;15.3700;18.8700;10.2000;26.0810;24.6110;17.3600;24.9110;29.8800;7.4900;28.6000;34.4600;31.5800;9.3300;8.3300;29.3400;21.4300;82.3400;0.0000;0.0000;6.8000;13.9300;21.0600;26.2400;19.5500;17.0500;18.4100;16.3100;28.8300;31.0200;20.5400;0.0000;28.2700;29.8300;63.0000;50.1600;13.9200;45.4400;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600
35;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;46.6600;10.6400;9.0000;43.6900;19.2500;22.7300;14.0800;21.8000;19.7000;17.0800;20.6300;25.6100;11.3700;23.1200;31.0700;27.5700;10.9700;1.5300;25.1800;14.7800;84.3500;6.8000;6.8000;0.0000;7.3100;15.7700;19.5900;12.9000;18.1900;11.8200;20.1700;24.8200;31.2200;24.5600;6.8000;32.1300;25.6300;65.2100;52.0000;17.7800;47.6500;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800;15.5800
36;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;53.7900;17.8000;16.1600;43.0500;26.4100;29.8600;21.2400;16.5000;14.4000;11.8200;15.3300;32.7700;9.9800;30.2800;38.2300;34.6600;10.8100;8.6100;32.2600;9.5200;84.1900;13.9300;13.9300;7.3100;0.0000;10.5100;18.9200;15.6100;12.7800;7.3800;27.3000;31.9100;38.3000;31.6900;13.9300;39.2600;32.7100;64.5000;51.7100;24.9100;46.9400;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800;10.2800
37;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;59.8000;23.8600;20.7700;42.4400;32.4700;35.8700;27.3000;6.8500;4.7300;7.7100;5.6800;41.3800;13.5700;38.8900;46.8400;43.1400;12.1600;17.0900;40.7400;0.9900;77.3500;21.0600;21.0600;15.7700;10.5100;0.0000;29.4300;24.9800;8.7300;17.8900;33.1200;40.3900;46.7800;37.7000;21.0600;45.2700;41.1900;63.9000;53.4000;30.9200;46.3400;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300;0.6300
38;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;51.5500;30.0800;28.4400;59.1100;38.6900;42.3100;33.5200;35.4200;33.3200;30.7400;34.2500;24.9100;26.0400;25.5600;28.9800;25.0200;26.8700;21.1200;25.6800;28.4400;100.2500;26.2400;26.2400;19.5900;18.9200;29.4300;0.0000;18.3100;31.7000;13.7000;39.7600;23.8600;31.8000;32.1500;26.2400;45.0400;22.6000;81.1100;68.3200;37.3700;63.5500;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000;29.2000
39;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;53.2100;23.3900;21.7500;52.4200;32.0000;35.5100;26.8300;30.9600;28.3000;26.2900;29.7900;27.3900;19.3500;25.0600;33.0100;29.0900;20.1800;11.5700;27.3400;23.9900;93.5600;19.5500;19.5500;12.9000;15.6100;24.9800;18.3100;0.0000;27.2400;9.1700;32.9500;26.3400;32.7400;32.2500;19.5500;44.9100;27.8700;74.4200;61.0500;30.5600;56.2800;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400;24.7400
40;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;56.0400;20.1000;17.0100;38.6800;28.7100;32.1100;23.5400;14.8800;12.9800;4.0400;13.9300;43.2800;9.8100;41.3100;47.8000;44.9800;8.4000;19.4900;42.7400;9.7200;74.5700;17.0500;17.0500;18.1900;12.7800;8.7300;31.7000;27.2400;0.0000;20.1600;29.3600;42.2300;44.1400;33.9400;17.0500;41.5100;43.5900;57.7700;44.6700;27.1600;42.5800;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600;9.3600
41;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;58.2700;22.3100;20.6700;48.8900;30.9200;34.3400;25.7500;23.0300;20.0700;19.2000;21.7600;34.8700;15.8200;32.3800;39.0700;35.3200;16.6500;13.1200;34.6600;16.9000;90.0300;18.4100;18.4100;11.8200;7.3800;17.8900;13.7000;9.1700;20.1600;0.0000;31.7800;34.0800;41.1500;36.1700;18.4100;43.7400;32.6900;70.8900;58.1000;29.3900;53.3300;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600;17.6600
42;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;27.6200;17.9800;12.3500;25.9500;15.5200;11.3200;15.8500;39.4510;37.4600;29.4500;38.2810;32.6300;19.5500;31.7000;38.0000;34.7600;21.5000;21.7000;31.9000;33.6400;84.9300;16.3100;16.3100;20.1700;27.3000;33.1200;39.7600;32.9500;29.3600;31.7800;0.0000;32.0100;33.8700;24.1300;16.3100;28.3700;33.3000;50.7700;54.5200;9.1800;35.6600;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200;33.7200
43;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;28.6000;22.3900;30.0800;57.0400;17.5300;27.8500;22.3800;45.7710;44.2900;41.6700;44.6010;1.0500;32.4500;1.7000;7.3000;2.7500;34.2900;23.3000;2.7200;39.4000;107.3000;28.8300;28.8300;24.8200;31.9100;40.3900;23.8600;26.3400;42.2300;34.0800;32.0100;0.0000;8.7700;8.2900;28.8300;21.1800;1.5300;80.6600;75.2800;22.9000;67.3700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700;40.1700
44;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;21.0100;24.3000;31.9900;59.3000;19.3900;30.0400;24.2400;52.1510;50.6800;44.2300;50.9810;7.7200;34.3600;9.0800;13.3500;9.8600;36.2000;29.6900;6.4900;45.7900;109.2100;31.0200;31.0200;31.2200;38.3000;46.7800;31.8000;32.7400;44.1400;41.1500;33.8700;8.7700;0.0000;10.4800;31.0200;23.3700;9.2000;83.0000;77.2800;25.0900;69.5300;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600;46.5600
45;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;30.2300;14.1000;21.7900;49.1600;9.6500;20.0100;14.5000;43.8410;42.0700;34.0300;42.6710;9.3400;24.1600;8.6000;14.9000;11.0400;26.0000;26.0900;8.8000;38.2500;99.0100;20.5400;20.5400;24.5600;31.6900;37.7000;32.1500;32.2500;33.9400;36.1700;24.1300;8.2900;10.4800;0.0000;20.5400;13.3400;9.8200;72.8200;66.9900;15.0600;59.5300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300;38.3300
46;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;42.8000;6.7600;5.1200;41.4300;15.3700;18.8700;10.2000;26.0810;24.6110;17.3600;24.9110;29.8800;7.4900;28.6000;34.4600;31.5800;9.3300;8.3300;29.3400;21.4300;82.3400;0.0000;0.0000;6.8000;13.9300;21.0600;26.2400;19.5500;17.0500;18.4100;16.3100;28.8300;31.0200;20.5400;0.0000;28.2700;29.8300;63.0000;50.1600;13.9200;45.4400;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600;21.6600
47;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;27.4500;24.8600;29.3600;51.3900;15.2600;22.6800;20.1100;51.4110;49.6400;41.6000;50.2410;22.2300;31.7300;21.4900;27.7900;23.9300;33.5700;33.6600;21.6900;45.8200;106.5800;28.2700;28.2700;32.1300;39.2600;45.2700;45.0400;44.9100;41.5100;43.7400;28.3700;21.1800;23.3700;13.3400;28.2700;0.0000;22.7100;72.0200;74.5800;20.6800;63.8100;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000;45.9000
48;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;28.9500;23.9200;31.6100;58.3300;19.0600;29.0700;23.9100;46.5610;45.0900;42.4700;45.3910;2.5200;33.9800;3.2300;6.3800;2.6300;35.8200;24.1000;3.0800;40.2000;108.8300;29.8300;29.8300;25.6300;32.7100;41.1900;22.6000;27.8700;43.5900;32.6900;33.3000;1.5300;9.2000;9.8200;29.8300;22.7100;0.0000;81.8800;76.6100;24.1200;68.5900;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700
49;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.7000;65.9100;57.8800;41.3500;64.7900;60.5900;65.1200;64.1400;66.5500;60.2300;65.5700;81.7100;55.7100;80.9700;87.2700;83.4100;54.2400;66.5000;81.1700;64.8900;51.9300;63.0000;63.0000;65.2100;64.5000;63.9000;81.1100;74.4200;57.7700;70.8900;50.7700;80.6600;83.0000;72.8200;63.0000;72.0200;81.8800;0.0000;20.7200;57.9100;31.8200;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300;64.5300
50;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;80.1800;53.2100;50.1200;40.8200;61.8200;65.2500;56.6500;49.4700;51.8800;48.1500;50.9000;76.3300;42.9200;75.1200;80.9100;78.0300;41.4500;53.3000;75.7900;54.1300;37.3300;50.1600;50.1600;52.0000;51.7100;53.4000;68.3200;61.0500;44.6700;58.1000;54.5200;75.2800;77.2800;66.9900;50.1600;74.5800;76.6100;20.7200;0.0000;60.3000;30.3800;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300;54.0300
51;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;28.8800;10.5100;15.0100;34.2100;7.0300;4.9500;8.3800;37.0610;35.2900;27.2500;35.8910;23.9500;17.3800;23.2100;29.5100;25.6500;19.2200;19.3100;23.4100;31.4700;92.2300;13.9200;13.9200;17.7800;24.9100;30.9200;37.3700;30.5600;27.1600;29.3900;9.1800;22.9000;25.0900;15.0600;13.9200;20.6800;24.1200;57.9100;60.3000;0.0000;44.5800;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500;31.5500
52;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;59.5800;48.3000;40.3200;24.7000;51.1800;46.9800;51.5100;52.7100;50.5900;42.6700;51.5400;68.2900;38.1500;67.3600;73.6600;70.1200;36.6800;48.9400;67.5600;47.3300;60.0700;45.4400;45.4400;47.6500;46.9400;46.3400;63.5500;56.2800;42.5800;53.3300;35.6600;67.3700;69.5300;59.5300;45.4400;63.8100;68.5900;31.8200;30.3800;44.5800;0.0000;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700;46.9700
53;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
54;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
55;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
56;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
57;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
58;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
59;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
60;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
61;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
62;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
63;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
64;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
65;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
66;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
67;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;60.4300;24.4900;21.3700;43.0400;33.1000;36.5000;27.9300;6.2200;4.1200;8.3100;5.0500;41.1900;14.1700;38.7000;46.6500;42.9200;12.7600;16.8700;40.5200;1.4300;76.7200;21.6600;21.6600;15.5800;10.2800;0.6300;29.2000;24.7400;9.3600;17.6600;33.7200;40.1700;46.5600;38.3300;21.6600;45.9000;40.9700;64.5300;54.0300;31.5500;46.9700;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
