27;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;28.3400;25.2500;26.5000;16.3800;41.3100;9.1800;23.2000;29.5700;40.6500;9.7900;39.2900;11.0500;16.5900;4.8400;0.0000;15.6600;12.5400;36.6200;13.8000;13.2100;8.7600;39.9700;38.3100;40.7600;40.2800;39.3200;37.5200;53.6000;51.3000;61.5300;9.1800;24.6100;9.8600;26.1700;19.5300;14.2000;9.1800;15.1000;11.0200;10.2900;10.1200;12.9400;42.8700;38.8900;76.4700;11.3800;25.5100;11.3900;27.8600;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300;8.5300
28;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;43.3810;40.5310;41.5410;31.4210;56.3510;24.4600;38.5900;33.9300;48.2700;7.5400;46.5400;6.9500;23.6300;20.2300;15.6600;0.0000;3.2500;45.0510;2.1400;18.7700;9.2400;47.4210;47.0210;48.2110;53.3610;47.2010;47.5610;62.6900;62.6200;65.6300;24.4600;28.8100;15.4600;32.4200;25.7800;3.5200;24.4600;0.5600;4.6400;7.7100;15.7200;4.1700;50.4210;46.3410;91.5310;26.8000;40.7110;26.3610;43.0610;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200;7.3200
29;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;40.7910;37.7900;38.9510;28.8310;53.7610;21.4500;35.4700;31.1000;45.4400;4.7400;43.7100;4.7200;20.8000;17.1100;12.5400;3.2500;0.0000;42.4610;1.5600;15.9400;6.5700;44.8410;44.4310;45.6310;50.7810;44.6010;44.9710;63.9800;63.8400;66.9200;21.4500;26.8000;12.6300;29.5900;22.9500;4.8100;21.4500;2.8600;5.9800;5.2900;12.8900;5.6000;47.6600;43.6500;88.9410;23.9200;38.0500;23.7710;40.4000;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900;4.4900
30;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;26.0800;28.7900;24.2400;21.9400;28.9100;33.3700;41.4800;26.9600;5.2100;38.1600;4.1600;39.2000;22.8500;32.1200;36.6200;45.0510;42.4610;0.0000;43.8400;27.7900;36.9100;3.7500;1.9700;4.5400;9.1700;3.5200;2.9800;83.6000;73.2100;91.5300;33.3700;33.2000;31.6900;20.5000;19.6800;46.6600;33.3700;45.1400;45.6100;38.4400;32.6100;46.9900;6.7500;6.6900;63.4600;30.0800;30.1400;25.2300;32.0700;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400;38.1400
31;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;41.7410;38.8910;39.9010;29.7810;54.7110;22.7100;36.7300;32.4200;46.6500;5.6800;44.9200;5.6600;22.0100;18.3700;13.8000;2.1400;1.5600;43.8400;0.0000;17.1900;7.5100;45.7810;45.8100;46.5710;51.7210;45.5510;45.9110;62.6100;62.5400;65.5500;22.7100;27.7500;13.8400;30.8000;24.1600;3.4400;22.7100;1.6000;5.6800;6.2300;14.1000;4.2300;48.7810;44.7010;89.8910;25.1800;39.0710;24.7210;41.4210;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100;5.8100
32;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;28.0500;25.2000;26.2100;16.0900;41.0200;9.7000;28.8300;19.8900;30.6000;11.5100;28.8700;12.5900;6.1600;9.4100;13.2100;18.7700;15.9400;27.7900;17.1900;0.0000;10.3000;30.0800;29.7600;30.8700;36.9600;30.1600;30.5200;61.0200;58.7200;68.9500;9.7000;14.5700;5.1100;14.9100;8.2700;19.9700;9.7000;18.4900;18.9200;11.8300;6.0300;20.3000;32.8200;28.9700;76.3200;16.0000;25.5000;11.1500;27.8500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500;11.4500
33;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;36.8300;33.7400;34.9900;24.8700;49.8000;16.7800;31.6900;26.7200;39.7200;1.8300;37.9900;2.2900;15.2800;13.3300;8.7600;9.2400;6.5700;36.9100;7.5100;10.3000;0.0000;39.2000;38.8800;39.9900;46.0800;39.3400;39.7000;62.3600;59.7900;70.2600;16.7800;21.8800;7.1300;24.0900;17.4500;10.6600;16.7800;8.6800;9.6100;1.5300;7.3900;10.9900;41.9400;38.1500;84.9600;19.8700;34.0000;19.8800;36.3500;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400;2.1400
34;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;28.3000;31.0100;26.4600;24.1600;29.7100;35.6600;43.7000;25.4300;1.4600;40.4500;1.2100;41.4900;25.1400;35.4800;39.9700;47.4210;44.8410;3.7500;45.7810;30.0800;39.2000;0.0000;4.0100;0.7900;8.7000;1.2200;3.0200;87.3500;75.7500;95.2800;35.6600;34.0000;33.9800;22.7900;21.9700;48.9500;35.6600;47.3810;47.9000;40.7300;34.9000;49.2800;3.0000;2.9400;62.9900;33.8300;32.6800;28.9800;34.6100;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300;40.4300
35;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;27.7600;30.4700;25.9200;23.6200;30.5900;35.3400;43.1600;28.6600;5.4200;40.1300;4.1000;41.1700;24.8200;33.8100;38.3100;47.0210;44.4310;1.9700;45.8100;29.7600;38.8800;4.0100;0.0000;4.8000;9.6400;3.4700;4.6700;85.2900;74.9000;93.2200;35.3400;35.1700;33.6600;22.4700;21.6500;48.6300;35.3400;47.1100;47.5800;40.4100;34.5800;48.9600;7.0100;6.6400;63.9300;31.7700;31.8300;26.9200;33.7600;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100;40.1100
36;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;29.0900;31.8000;27.2500;24.9500;29.9200;36.4500;44.4900;26.0900;0.6700;41.2400;2.0000;42.2800;25.9300;36.2700;40.7600;48.2110;45.6310;4.5400;46.5710;30.8700;39.9900;0.7900;4.8000;0.0000;8.9100;2.0100;3.2900;87.7900;76.5400;95.7200;36.4500;34.6600;34.7700;23.5800;22.7600;49.7400;36.4500;48.1710;48.6900;41.5200;35.6900;50.0700;2.3100;3.6000;63.2000;34.2700;33.4700;29.4200;35.4000;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200;41.2200
37;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;29.7100;32.4200;27.8700;25.5700;21.0100;38.2600;45.1100;33.6200;8.7500;47.1900;9.6600;48.3700;31.8800;35.7800;40.2800;53.3610;50.7810;9.1700;51.7210;36.9600;46.0800;8.7000;9.6400;8.9100;0.0000;7.7900;6.7700;87.5400;77.1500;95.4700;38.2600;42.2300;40.7200;29.5300;28.7100;54.4800;38.2600;53.3210;51.3000;47.6100;41.6400;53.2200;10.9700;11.1300;56.9400;34.0200;34.0800;29.1700;36.0100;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700;47.1700
38;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;28.0700;30.7800;26.2300;23.9300;28.8000;35.5800;43.4700;26.0800;2.1500;40.3700;1.8700;41.6300;25.0600;34.8200;39.3200;47.2010;44.6010;3.5200;45.5510;30.1600;39.3400;1.2200;3.4700;2.0100;7.7900;0.0000;1.8000;86.3000;75.2900;94.2300;35.5800;35.2200;33.9000;22.7100;21.8900;48.8700;35.5800;47.1510;47.8200;40.8700;34.8200;49.2000;4.2200;4.1600;62.0100;32.7800;32.2200;27.9300;34.1500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500;40.3500
39;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;26.9700;29.6800;25.1300;22.8300;27.7800;35.5000;42.3700;27.8800;3.1300;40.7300;3.6700;41.9900;25.4200;33.0200;37.5200;47.5610;44.9710;2.9800;45.9110;30.5200;39.7000;3.0200;4.6700;3.2900;6.7700;1.8000;0.0000;84.5000;74.1100;92.4300;35.5000;35.7700;34.2600;23.0700;22.2500;49.2300;35.5000;47.5110;48.1800;41.2300;35.1800;49.5600;5.3500;5.6700;60.8200;30.9800;31.0400;26.1300;32.9700;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100;40.7100
40;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;75.3900;67.7700;73.5500;63.4300;85.9800;55.8200;53.2400;76.6200;87.6300;63.3900;86.4500;64.6500;63.7500;51.9400;53.6000;62.6900;63.9800;83.6000;62.6100;61.0200;62.3600;87.3500;85.2900;87.7900;87.5400;86.3000;84.5000;0.0000;35.5900;7.9300;55.8200;71.5400;62.1500;73.1500;66.5100;60.3200;55.8200;62.1900;62.3200;63.8900;63.0700;58.9900;89.8500;85.8700;71.0700;58.3200;64.5000;58.3700;67.7100;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300;62.1300
41;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;54.7700;46.3400;52.9300;58.7900;59.4800;53.6200;36.8500;74.6800;77.1600;60.8200;75.8400;62.0800;61.8100;49.6400;51.3000;62.6200;63.8400;73.2100;62.5400;58.7200;59.7900;75.7500;74.9000;76.5400;77.1500;75.2900;74.1100;35.5900;0.0000;40.2600;53.6200;69.7000;59.8500;71.3100;64.6700;60.2900;53.6200;62.1600;62.2900;61.3200;60.7700;58.9600;78.7500;78.0700;46.1200;52.4600;44.4300;56.5300;41.1400;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200;59.6200
42;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;80.7900;72.3600;78.9500;71.3600;90.5700;63.7500;57.8100;84.5500;95.5600;70.4400;94.3800;70.4200;71.6800;59.8700;61.5300;65.6300;66.9200;91.5300;65.5500;68.9500;70.2600;95.2800;93.2200;95.7200;95.4700;94.2300;92.4300;7.9300;40.2600;0.0000;63.7500;79.4700;70.0800;81.0800;74.4400;63.2900;63.7500;65.1600;65.2900;70.9900;71.0000;61.9600;97.7800;93.8000;76.7300;66.2500;69.1300;66.3000;72.3400;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000
43;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;26.3900;23.1900;24.5500;14.4300;39.3600;0.0000;23.6100;24.0800;36.1800;17.8100;34.4500;19.0700;11.5400;4.3400;9.1800;24.4600;21.4500;33.3700;22.7100;9.7000;16.7800;35.6600;35.3400;36.4500;38.2600;35.5800;35.5000;55.8200;53.6200;63.7500;0.0000;20.2300;11.5100;20.3300;13.6900;23.1100;0.0000;24.0100;19.9300;18.3100;12.4300;21.8500;38.4000;34.3900;74.4100;9.3200;23.4500;9.3700;25.8000;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400
44;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;35.8700;33.0200;34.0300;23.9100;48.8400;20.2300;39.5700;9.9800;34.5000;23.3800;34.2800;23.4700;13.9800;20.0600;24.6100;28.8100;26.8000;33.2000;27.7500;14.5700;21.8800;34.0000;35.1700;34.6600;42.2300;35.2200;35.7700;71.5400;69.7000;79.4700;20.2300;0.0000;16.4300;13.2400;16.1600;31.0700;20.2300;28.3300;30.2700;23.4100;17.3500;31.3900;36.7200;31.5200;84.2100;23.8900;33.3900;19.0400;35.7400;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000;22.8000
45;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;31.9500;28.9600;30.1100;19.9900;44.9200;11.5100;29.6300;21.5000;34.5000;8.1600;32.7700;9.4200;10.0600;10.2100;9.8600;15.4600;12.6300;31.6900;13.8400;5.1100;7.1300;33.9800;33.6600;34.7700;40.7200;33.9000;34.2600;62.1500;59.8500;70.0800;11.5100;16.4300;0.0000;18.8200;12.1800;16.6600;11.5100;15.1400;15.6100;8.6600;0.9200;16.9900;36.7200;32.8800;80.1800;15.0900;29.2200;15.0600;31.5700;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400;8.1400
46;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;31.7000;28.8500;29.8600;19.7400;44.6700;20.3300;35.4000;18.3100;23.3100;25.1200;21.5800;26.3800;9.8100;21.6700;26.1700;32.4200;29.5900;20.5000;30.8000;14.9100;24.0900;22.7900;22.4700;23.5800;29.5300;22.7100;23.0700;73.1500;71.3100;81.0800;20.3300;13.2400;18.8200;0.0000;6.8300;33.6200;20.3300;32.1000;32.5700;25.6200;19.7400;33.9500;25.5300;24.5200;80.0000;19.6800;29.1800;14.8300;31.5300;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000;25.1000
47;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;25.0600;22.2100;23.2200;13.1000;38.0300;13.6900;28.7600;21.2300;22.4900;18.4800;20.7600;19.7400;3.1700;15.0300;19.5300;25.7800;22.9500;19.6800;24.1600;8.2700;17.4500;21.9700;21.6500;22.7600;28.7100;21.8900;22.2500;66.5100;64.6700;74.4400;13.6900;16.1600;12.1800;6.8300;0.0000;26.9800;13.6900;25.4600;25.9300;18.9800;13.1000;27.3100;24.7100;20.7000;73.8300;13.5100;23.0100;8.6600;25.3600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600;18.4600
48;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;42.5400;39.2100;40.7000;30.5800;55.5100;23.1100;37.1300;35.1300;49.4700;9.1200;47.7400;9.1000;24.8300;18.7700;14.2000;3.5200;4.8100;46.6600;3.4400;19.9700;10.6600;48.9500;48.6300;49.7400;54.4800;48.8700;49.2300;60.3200;60.2900;63.2900;23.1100;31.0700;16.6600;33.6200;26.9800;0.0000;23.1100;3.0400;3.1800;9.6700;16.9200;1.9000;51.6900;47.6800;90.4300;25.3400;39.4700;25.5900;41.8200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200;8.5200
49;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;26.3900;23.1900;24.5500;14.4300;39.3600;0.0000;23.6100;24.0800;36.1800;17.8100;34.4500;19.0700;11.5400;4.3400;9.1800;24.4600;21.4500;33.3700;22.7100;9.7000;16.7800;35.6600;35.3400;36.4500;38.2600;35.5800;35.5000;55.8200;53.6200;63.7500;0.0000;20.2300;11.5100;20.3300;13.6900;23.1100;0.0000;24.0100;19.9300;18.3100;12.4300;21.8500;38.4000;34.3900;74.4100;9.3200;23.4500;9.3700;25.8000;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400
50;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;43.0210;40.1100;41.1810;31.0610;55.9910;24.0100;38.0300;33.4000;47.9500;6.9800;46.2200;6.3900;23.3100;19.6700;15.1000;0.5600;2.8600;45.1400;1.6000;18.4900;8.6800;47.3810;47.1100;48.1710;53.3210;47.1510;47.5110;62.1900;62.1600;65.1600;24.0100;28.3300;15.1400;32.1000;25.4600;3.0400;24.0100;0.0000;4.0800;7.1500;15.4000;3.6100;50.1700;45.9810;91.1710;26.2400;40.3510;26.0010;42.7010;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500
51;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;39.3600;36.0300;37.5200;27.4000;52.3300;19.9300;33.9500;34.0800;48.4200;9.0700;46.6900;9.0500;23.7800;15.5900;11.0200;4.6400;5.9800;45.6100;5.6800;18.9200;9.6100;47.9000;47.5800;48.6900;51.3000;47.8200;48.1800;62.3200;62.2900;65.2900;19.9300;30.2700;15.6100;32.5700;25.9300;3.1800;19.9300;4.0800;0.0000;9.1300;15.8700;4.2200;50.6400;46.6300;87.2500;22.1600;36.2900;22.4100;38.6400;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700
52;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;38.3600;34.9200;36.5200;26.4000;51.3300;18.3100;33.2200;28.2500;41.2500;0.5500;39.5200;0.7600;16.8100;14.8500;10.2900;7.7100;5.2900;38.4400;6.2300;11.8300;1.5300;40.7300;40.4100;41.5200;47.6100;40.8700;41.2300;63.8900;61.3200;70.9900;18.3100;23.4100;8.6600;25.6200;18.9800;9.6700;18.3100;7.1500;9.1300;0.0000;8.9200;10.0200;43.4700;39.6800;86.1400;21.0500;35.1800;21.4100;37.5300;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200;1.9200
53;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;32.8700;29.8800;31.0300;20.9100;45.8400;12.4300;30.5500;22.4200;35.4200;8.4200;33.6900;9.6800;10.9800;11.1300;10.1200;15.7200;12.8900;32.6100;14.1000;6.0300;7.3900;34.9000;34.5800;35.6900;41.6400;34.8200;35.1800;63.0700;60.7700;71.0000;12.4300;17.3500;0.9200;19.7400;13.1000;16.9200;12.4300;15.4000;15.8700;8.9200;0.0000;17.2500;37.6400;33.8000;81.1000;16.0100;30.1400;15.9800;32.4900;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000;8.4000
54;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;41.2800;38.1900;39.4400;29.3200;54.2500;21.8500;35.8700;35.4600;49.8000;9.4700;48.0700;9.4500;25.1600;17.5100;12.9400;4.1700;5.6000;46.9900;4.2300;20.3000;10.9900;49.2800;48.9600;50.0700;53.2200;49.2000;49.5600;58.9900;58.9600;61.9600;21.8500;31.3900;16.9900;33.9500;27.3100;1.9000;21.8500;3.6100;4.2200;10.0200;17.2500;0.0000;52.0200;48.0100;89.4100;24.3200;38.4500;24.3300;40.8000;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500;8.8500
55;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;31.3000;34.0100;29.4600;27.1600;31.9800;38.4000;46.7000;27.8400;2.2200;43.1900;3.9500;44.2300;27.8800;38.3700;42.8700;50.4210;47.6600;6.7500;48.7810;32.8200;41.9400;3.0000;7.0100;2.3100;10.9700;4.2200;5.3500;89.8500;78.7500;97.7800;38.4000;36.7200;36.7200;25.5300;24.7100;51.6900;38.4000;50.1700;50.6400;43.4700;37.6400;52.0200;0.0000;5.4300;65.2600;36.3300;35.6800;31.4800;37.6100;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700;43.1700
56;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;31.2400;33.9500;29.4000;27.1000;32.1400;34.3900;46.3500;22.4900;3.4400;39.1800;3.0900;40.4400;23.8700;34.3900;38.8900;46.3410;43.6500;6.6900;44.7010;28.9700;38.1500;2.9400;6.6400;3.6000;11.1300;4.1600;5.6700;85.8700;78.0700;93.8000;34.3900;31.5200;32.8800;24.5200;20.7000;47.6800;34.3900;45.9810;46.6300;39.6800;33.8000;48.0100;5.4300;0.0000;65.9300;33.3100;35.0000;28.4600;36.9300;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600;39.1600
57;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;58.7100;53.6700;58.3500;66.1200;52.5200;74.4100;61.7500;88.0900;63.0400;85.9900;63.8800;86.9000;70.6600;71.9300;76.4700;91.5310;88.9410;63.4600;89.8910;76.3200;84.9600;62.9900;63.9300;63.2000;56.9400;62.0100;60.8200;71.0700;46.1200;76.7300;74.4100;84.2100;80.1800;80.0000;73.8300;90.4300;74.4100;91.1710;87.2500;86.1400;81.1000;89.4100;65.2600;65.9300;0.0000;65.0900;51.9000;65.3100;48.6100;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600;84.7600
58;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;21.8700;13.8700;20.0300;9.9100;34.8400;9.3200;17.0500;28.9600;34.1100;20.9000;33.0400;21.8100;10.3400;6.8400;11.3800;26.8000;23.9200;30.0800;25.1800;16.0000;19.8700;33.8300;31.7700;34.2700;34.0200;32.7800;30.9800;58.3200;52.4600;66.2500;9.3200;23.8900;15.0900;19.6800;13.5100;25.3400;9.3200;26.2400;22.1600;21.0500;16.0100;24.3200;36.3300;33.3100;65.0900;0.0000;14.1300;4.9300;16.4800;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700;19.6700
