26;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;20.0900;8.5900;9.2400;24.7100;16.4400;16.4400;24.4800;1.4600;1.2300;22.9800;21.1500;25.0300;21.1500;0.0000;25.9200;23.9100;3.8300;1.5600;0.2500;2.9500;15.3400;70.4900;58.6500;72.2100;48.2000;56.8900;32.6500;58.6500;14.8400;11.8300;16.9400;21.3500;6.3900;15.3800;9.2400;22.6200;23.9300;7.3600;19.1600;21.1500;27.1600;24.7200;26.1800;19.9000;23.6200;24.2200;25.9800;32.7200;18.6600;18.5400;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500;15.1500
27;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;30.8600;31.6700;35.0700;2.0200;42.2700;42.2700;2.0900;26.8800;25.5200;5.1200;46.9700;3.1300;46.9700;25.9200;0.0000;2.0100;29.6300;24.6400;25.6700;28.7800;41.1700;96.3200;77.8000;92.3100;70.3600;82.7200;54.8100;77.8000;40.6700;37.6600;42.7700;47.1700;32.2200;41.2100;35.0700;48.4400;49.7500;33.1900;24.8100;5.9800;1.6000;2.3500;0.7300;15.5400;4.2700;2.3200;0.5900;26.0100;32.4100;18.1400;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700;40.9700
28;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;30.3500;30.7300;33.0600;2.9400;40.2600;40.2600;0.5700;24.8700;23.7800;4.0400;44.9600;1.1200;44.9600;23.9100;2.0100;0.0000;27.6200;22.6300;23.6600;26.7700;39.1600;94.3100;76.9400;91.4500;69.5000;80.7100;53.9500;76.9400;38.6600;35.6500;40.7600;45.1600;30.2100;39.2000;33.0600;46.4300;47.7400;31.1800;23.5600;3.9700;3.6100;0.8100;2.2700;14.6800;3.4100;0.3100;2.0700;24.8400;31.5500;17.2800;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600;38.9600
29;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;23.8000;12.3000;7.6400;28.4200;13.7700;13.7700;28.1900;5.1700;4.9400;26.6900;18.5000;28.7400;18.5000;3.8300;29.6300;27.6200;0.0000;5.2700;3.9600;1.3500;12.6700;68.6400;56.6000;70.1600;46.1500;55.0400;30.6000;56.6000;12.1700;9.1600;14.2700;18.7000;3.4800;12.7100;7.6400;19.9700;21.2800;5.6000;20.1400;24.8600;30.8700;28.4300;29.8900;23.6100;27.3300;27.9300;29.6900;33.7000;22.3700;22.2500;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000;12.5000
30;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;21.0900;9.5900;10.7100;23.4300;17.9100;17.9100;23.2000;2.4600;1.1500;21.7000;22.6100;23.7500;22.6100;1.5600;24.6400;22.6300;5.2700;0.0000;1.3100;4.4200;16.8100;71.9600;60.1200;73.6800;49.6700;58.3600;34.1200;60.1200;16.3100;13.3000;18.4100;22.8100;7.8600;16.8500;10.7100;24.0800;25.3900;8.8300;20.6300;19.5900;25.6000;23.4400;24.9000;20.9000;22.0600;22.9400;24.7000;31.6400;19.6600;19.5400;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100;16.6100
31;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;19.8400;8.3400;9.4000;24.4600;16.6000;16.6000;24.2300;1.2100;0.9800;22.7300;21.3000;24.7800;21.3000;0.2500;25.6700;23.6600;3.9600;1.3100;0.0000;3.1100;15.5000;70.6500;58.8100;72.3700;48.3600;57.0500;32.8100;58.8100;15.0000;11.9900;17.1000;21.5000;6.5500;15.5400;9.4000;22.7700;24.0800;7.5200;19.3200;20.9000;26.9100;24.4700;25.9300;19.6500;23.3700;23.9700;25.7300;32.8800;18.4100;18.2900;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000;15.3000
32;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;22.9500;11.4500;6.2900;27.5700;14.2000;14.2000;27.3400;4.3200;4.0900;25.8400;18.6900;27.8900;18.6900;2.9500;28.7800;26.7700;1.3500;4.4200;3.1100;0.0000;13.1100;67.7400;55.7000;69.2600;45.2500;54.1400;29.7000;55.7000;12.6100;9.3900;14.7100;18.8900;4.1600;13.1500;6.2900;20.1600;21.4700;4.6100;19.1600;24.0100;30.0200;27.5800;29.0400;22.7100;26.4800;27.0800;28.8400;32.7200;21.5200;21.3500;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900;12.6900
33;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;35.3400;23.8400;19.4000;39.9600;2.1000;2.1000;39.7300;16.7100;16.4800;38.2300;7.0200;40.2800;7.0800;15.3400;41.1700;39.1600;12.6700;16.8100;15.5000;13.1100;0.0000;74.8900;60.5500;74.1200;50.1000;61.2600;34.5600;60.5500;1.4200;9.2200;10.5400;7.5700;10.7100;2.6900;19.4000;9.3800;10.0000;13.4200;31.1500;36.4000;42.4100;39.9700;41.4300;35.1500;38.8700;39.4700;41.2300;39.6500;33.9100;33.7900;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100;1.9100
34;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;74.1200;69.7900;65.9800;94.7000;74.0500;74.0500;94.8800;71.8600;71.6300;93.3800;71.0100;95.4300;70.9300;70.4900;96.3200;94.3100;68.6400;71.9600;70.6500;67.7400;74.8900;0.0000;43.4600;32.9800;51.9700;13.6300;49.3800;43.4600;73.4700;69.9400;67.3600;69.5900;69.9500;74.0100;65.9800;70.5500;68.1100;65.1600;86.7300;91.5300;96.9700;95.1200;96.5800;80.9000;94.0000;94.6200;96.3800;100.2900;74.1800;79.5400;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300;73.0300
35;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;48.8500;52.6100;53.9600;76.0600;59.9800;59.9800;77.5100;60.0200;59.7900;79.8000;61.7800;78.0600;61.7000;58.6500;77.8000;76.9400;56.6000;60.1200;58.8100;55.7000;60.5500;43.4600;0.0000;30.8600;27.3600;29.8800;26.0300;0.0000;59.6000;57.7600;54.6900;60.2100;57.9300;60.1400;53.9600;61.1700;58.8700;53.1400;74.7100;78.6000;78.3200;76.4600;78.5300;68.7400;76.3600;76.9600;78.3700;88.2700;48.2100;61.0200;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400
36;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;62.2400;66.1700;67.5300;90.5700;73.5400;73.5400;92.0200;73.5800;73.3500;94.3100;72.8100;92.5700;72.7300;72.2100;92.3100;91.4500;70.1600;73.6800;72.3700;69.2600;74.1200;32.9800;30.8600;0.0000;42.1900;22.1000;39.6000;30.8600;73.1700;71.3300;68.2600;71.3900;71.5000;73.7100;67.5300;72.3500;69.9100;66.7100;88.2800;92.9300;92.8300;90.9700;93.0400;82.3000;90.8700;91.4700;92.8800;101.8400;62.7200;75.5300;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100;72.2100
37;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;40.3200;42.1600;43.5100;68.6200;49.5300;49.5300;70.0700;49.5700;49.3400;70.9500;54.1900;70.6200;54.1900;48.2000;70.3600;69.5000;46.1500;49.6700;48.3600;45.2500;50.1000;51.9700;27.3600;42.1900;0.0000;38.3900;15.5800;27.3600;49.1500;47.3100;44.2400;49.7200;47.4800;49.6900;43.5100;50.6800;52.7100;42.6900;64.2600;68.9200;70.8700;69.0100;71.0900;58.2900;69.7600;69.5100;70.9200;77.8200;40.3400;53.5700;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900;48.1900
38;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;60.5500;56.1900;52.4100;81.1300;60.4200;60.4200;81.2800;58.2600;58.0300;79.7800;57.3800;81.8300;57.3000;56.8900;82.7200;80.7100;55.0400;58.3600;57.0500;54.1400;61.2600;13.6300;29.8800;22.1000;38.3900;0.0000;35.8100;29.8800;59.8400;56.3700;53.7900;55.9600;56.3800;60.3800;52.4100;56.9200;54.4800;51.5900;73.1600;77.9500;83.4000;81.5200;82.9800;67.3300;80.4200;81.0200;82.7800;86.7200;60.6100;65.9700;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000;59.4000
39;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;24.7400;26.6100;27.9700;53.0700;33.9800;33.9800;54.5200;34.0200;33.7900;55.4000;38.6500;55.0700;38.6500;32.6500;54.8100;53.9500;30.6000;34.1200;32.8100;29.7000;34.5600;49.3800;26.0300;39.6000;15.5800;35.8100;0.0000;26.0300;33.6100;31.7700;28.7000;34.1800;31.9400;34.1500;27.9700;35.1400;37.1300;27.1500;48.7200;53.3700;55.3300;53.4700;55.5400;42.7400;54.1800;53.9700;55.3800;62.2800;24.8000;38.0300;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500;32.6500
40;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;48.8500;52.6100;53.9600;76.0600;59.9800;59.9800;77.5100;60.0200;59.7900;79.8000;61.7800;78.0600;61.7000;58.6500;77.8000;76.9400;56.6000;60.1200;58.8100;55.7000;60.5500;43.4600;0.0000;30.8600;27.3600;29.8800;26.0300;0.0000;59.6000;57.7600;54.6900;60.2100;57.9300;60.1400;53.9600;61.1700;58.8700;53.1400;74.7100;78.6000;78.3200;76.4600;78.5300;68.7400;76.3600;76.9600;78.3700;88.2700;48.2100;61.0200;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400;58.6400
41;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;34.8400;23.3400;18.9000;39.4600;1.6000;1.6000;39.2300;16.2100;15.9800;37.7300;6.5200;39.7800;6.5800;14.8400;40.6700;38.6600;12.1700;16.3100;15.0000;12.6100;1.4200;73.4700;59.6000;73.1700;49.1500;59.8400;33.6100;59.6000;0.0000;7.9900;9.4400;6.7800;9.2900;2.9400;18.9000;8.7400;9.2100;12.0000;30.0600;35.9000;41.9100;39.4700;40.9300;34.6500;38.3700;38.9700;40.7300;39.9000;33.4100;33.2900;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100;1.4100
42;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;27.9900;16.4900;11.5200;36.4500;8.7100;8.7100;36.2200;13.2000;12.9700;34.7200;13.3100;36.7700;13.3100;11.8300;37.6600;35.6500;9.1600;13.3000;11.9900;9.3900;9.2200;69.9400;57.7600;71.3300;47.3100;56.3700;31.7700;57.7600;7.9900;0.0000;7.7100;13.3200;6.1500;8.5000;11.5200;14.5500;15.7500;4.7800;25.7900;32.8900;38.9000;36.4600;37.9200;27.5800;35.3600;35.9600;37.7200;39.3500;26.4200;26.2200;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100;7.3100
43;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;29.6700;18.1700;15.0700;41.5600;9.9000;9.9000;41.3300;18.3100;18.0800;39.8300;11.7500;41.8800;11.6700;16.9400;42.7700;40.7600;14.2700;18.4100;17.1000;14.7100;10.5400;67.3600;54.6900;68.2600;44.2400;53.7900;28.7000;54.6900;9.4400;7.7100;0.0000;5.8800;11.4200;10.2100;15.0700;6.8400;8.8300;12.4900;31.0600;38.0000;44.0100;41.5700;43.0300;29.3900;40.4700;41.0700;42.8300;42.9100;28.2300;28.0300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300;8.6300
44;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;35.5500;24.0500;20.5800;45.9600;5.4700;5.4700;45.7300;22.7100;22.4800;44.2300;6.2000;46.2800;6.1200;21.3500;47.1700;45.1600;18.7000;22.8100;21.5000;18.8900;7.5700;69.5900;60.2100;71.3900;49.7200;55.9600;34.1800;60.2100;6.7800;13.3200;5.8800;0.0000;15.7600;8.7200;20.5800;2.0400;3.0200;18.1000;35.4400;42.4000;48.4100;45.9700;47.4300;35.2700;44.8700;45.4700;47.2300;45.6800;34.1100;33.9100;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000;6.2000
45;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;26.3900;14.8900;10.4500;31.0100;10.8900;10.8900;30.7800;7.7600;7.5300;29.2800;15.5600;31.3300;15.5600;6.3900;32.2200;30.2100;3.4800;7.8600;6.5500;4.1600;10.7100;69.9500;57.9300;71.5000;47.4800;56.3800;31.9400;57.9300;9.2900;6.1500;11.4200;15.7600;0.0000;9.6800;10.4500;17.0300;18.3400;5.4800;20.7700;27.4500;33.4600;31.0200;32.4800;26.2000;29.9200;30.5200;32.2800;34.3300;24.9600;24.8400;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600;9.5600
46;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;35.3800;23.8800;19.4400;40.0000;4.2600;4.2600;39.7700;16.7500;16.5200;38.2700;8.8700;40.3200;8.7900;15.3800;41.2100;39.2000;12.7100;16.8500;15.5400;13.1500;2.6900;74.0100;60.1400;73.7100;49.6900;60.3800;34.1500;60.1400;2.9400;8.5000;10.2100;8.7200;9.6800;0.0000;19.4400;10.7600;11.2500;12.5800;30.4500;36.4400;42.4500;40.0100;41.4700;35.1900;38.9100;39.5100;41.2700;37.5400;33.9500;33.8300;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700
47;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;24.7400;13.2400;0.0000;33.8600;20.2300;20.2300;33.6300;10.6100;10.3800;32.1300;24.5100;34.1800;24.5700;9.2400;35.0700;33.0600;7.6400;10.7100;9.4000;6.2900;19.4000;65.9800;53.9600;67.5300;43.5100;52.4100;27.9700;53.9600;18.9000;11.5200;15.0700;20.5800;10.4500;19.4400;0.0000;21.5400;23.5300;7.4500;25.4500;30.3000;36.3100;33.8700;35.3300;24.3800;32.7700;33.3700;35.1300;39.0100;23.2200;23.0200;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300
48;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;36.5100;25.0100;21.5400;47.2300;7.4300;7.4300;47.0000;23.9800;23.7500;45.5000;4.9100;47.5500;4.8300;22.6200;48.4400;46.4300;19.9700;24.0800;22.7700;20.1600;9.3800;70.5500;61.1700;72.3500;50.6800;56.9200;35.1400;61.1700;8.7400;14.5500;6.8400;2.0400;17.0300;10.7600;21.5400;0.0000;4.2900;19.3300;36.7100;43.6700;49.6800;47.2400;48.7000;36.2300;46.1400;46.7400;48.5000;46.9500;35.0700;34.8700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700;7.4700
49;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;38.5000;27.0000;23.5300;48.5400;7.9000;7.9000;48.3100;25.2900;25.0600;46.8100;3.6600;48.8600;3.5800;23.9300;49.7500;47.7400;21.2800;25.3900;24.0800;21.4700;10.0000;68.1100;58.8700;69.9100;52.7100;54.4800;37.1300;58.8700;9.2100;15.7500;8.8300;3.0200;18.3400;11.2500;23.5300;4.2900;0.0000;20.5300;38.0200;44.9800;50.9900;48.5500;50.0100;38.2200;47.4500;48.0500;49.8100;48.2600;37.0600;36.8600;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800;8.7800
50;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;23.9200;12.4200;7.4500;31.9800;13.4900;13.4900;31.7500;8.7300;8.5000;30.2500;18.0900;32.3000;18.0900;7.3600;33.1900;31.1800;5.6000;8.8300;7.5200;4.6100;13.4200;65.1600;53.1400;66.7100;42.6900;51.5900;27.1500;53.1400;12.0000;4.7800;12.4900;18.1000;5.4800;12.5800;7.4500;19.3300;20.5300;0.0000;23.6300;28.4200;34.4300;31.9900;33.4500;23.7400;30.8900;31.4900;33.2500;37.1900;22.4900;22.3800;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900;12.0900
51;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;39.1600;27.6600;25.4500;25.8500;30.7500;30.7500;23.3700;20.5300;20.3000;21.3900;35.2400;23.9200;35.2400;19.1600;24.8100;23.5600;20.1400;20.6300;19.3200;19.1600;31.1500;86.7300;74.7100;88.2800;64.2600;73.1600;48.7200;74.7100;30.0600;25.7900;31.0600;35.4400;20.7700;30.4500;25.4500;36.7100;38.0200;23.6300;0.0000;22.5500;26.4100;23.7500;25.2100;38.1700;24.9300;23.2500;24.8700;15.2900;37.7300;37.6100;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400;29.2400
52;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;31.6800;26.7600;30.3000;4.7700;37.5000;37.5000;4.5400;21.6300;20.0600;3.9100;42.2000;5.0900;42.2000;21.1500;5.9800;3.9700;24.8600;19.5900;20.9000;24.0100;36.4000;91.5300;78.6000;92.9300;68.9200;77.9500;53.3700;78.6000;35.9000;32.8900;38.0000;42.4000;27.4500;36.4400;30.3000;43.6700;44.9800;28.4200;22.5500;0.0000;6.9800;4.7800;6.2400;16.1300;3.4500;4.2800;6.0400;25.4200;32.9900;18.7300;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000;36.2000
53;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;31.4000;32.2000;36.3100;2.5600;43.5100;43.5100;3.6800;27.6400;26.0700;6.7200;48.2100;4.7300;48.2100;27.1600;1.6000;3.6100;30.8700;25.6000;26.9100;30.0200;42.4100;96.9700;78.3200;92.8300;70.8700;83.4000;55.3300;78.3200;41.9100;38.9000;44.0100;48.4100;33.4600;42.4500;36.3100;49.6800;50.9900;34.4300;26.4100;6.9800;0.0000;3.9500;2.3200;16.0700;4.8000;3.9200;2.1800;27.6100;32.9400;18.6700;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100;42.2100
54;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;29.5400;30.5500;33.8700;2.6300;41.0700;41.0700;1.3800;25.6800;24.2100;3.3400;45.7700;1.9300;45.7700;24.7200;2.3500;0.8100;28.4300;23.4400;24.4700;27.5800;39.9700;95.1200;76.4600;90.9700;69.0100;81.5200;53.4700;76.4600;39.4700;36.4600;41.5700;45.9700;31.0200;40.0100;33.8700;47.2400;48.5500;31.9900;23.7500;4.7800;3.9500;0.0000;2.2600;14.4200;3.1500;0.5000;2.1800;25.6500;31.2900;17.0200;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700;39.7700
55;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;31.5900;32.3700;35.3300;2.7500;42.5300;42.5300;2.0600;27.1400;25.7600;4.7500;47.2300;3.1100;47.2300;26.1800;0.7300;2.2700;29.8900;24.9000;25.9300;29.0400;41.4300;96.5800;78.5300;93.0400;71.0900;82.9800;55.5400;78.5300;40.9300;37.9200;43.0300;47.4300;32.4800;41.4700;35.3300;48.7000;50.0100;33.4500;25.2100;6.2400;2.3200;2.2600;0.0000;16.2400;4.9700;1.9600;0.6400;25.6400;33.1100;18.8400;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300;41.2300
56;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;24.4200;16.1300;24.3800;13.8000;36.2500;36.2500;15.2500;18.8300;20.0100;17.5900;39.6410;15.8000;39.5610;19.9000;15.5400;14.6800;23.6100;20.9000;19.6500;22.7100;35.1500;80.9000;68.7400;82.3000;58.2900;67.3300;42.7400;68.7400;34.6500;27.5800;29.3900;35.2700;26.2000;35.1900;24.3800;36.2300;38.2200;23.7400;38.1700;16.1300;16.0700;14.4200;16.2400;0.0000;14.0500;14.9200;16.0600;39.5200;26.0100;13.9600;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900;34.8900
57;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;29.4400;29.2300;32.7700;2.5300;39.9700;39.9700;3.9800;24.1100;22.5400;3.5400;44.6700;4.5300;44.6700;23.6200;4.2700;3.4100;27.3300;22.0600;23.3700;26.4800;38.8700;94.0000;76.3600;90.8700;69.7600;80.4200;54.1800;76.3600;38.3700;35.3600;40.4700;44.8700;29.9200;38.9100;32.7700;46.1400;47.4500;30.8900;24.9300;3.4500;4.8000;3.1500;4.9700;14.0500;0.0000;3.6500;4.8600;27.7900;30.8800;16.6100;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700;38.6700
