32;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;24.8500;63.5300;26.8100;52.9200;45.4800;36.5100;23.1600;22.1100;21.1600;24.9100;14.8100;23.0800;21.7200;23.0500;21.8800;81.8400;66.2600;11.5600;73.5100;0.0000;15.8500;15.4000;19.1200;22.3800;24.6200;37.5400;11.1900;22.6700;24.8400;63.1600;51.7900;23.2400;63.1600;10.1500;21.8700;71.4800;11.5400;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100
33;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;38.8100;77.5700;32.0700;66.8800;59.5200;34.3800;39.0100;37.9600;5.3100;40.7600;4.9400;38.9300;5.8700;38.9000;6.0300;79.8500;64.2700;27.4100;69.7900;15.8500;0.0000;10.9300;15.5300;6.5300;40.4700;53.3900;27.0400;38.5200;40.6900;77.1200;65.7500;37.2000;77.1200;24.1100;35.8300;85.4400;25.5000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000;1.4000
34;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;38.8400;77.5200;37.3500;66.9100;59.4700;39.2400;38.0500;37.5100;15.6900;39.8000;5.9900;37.9700;16.2500;37.9400;16.4100;84.7100;69.1300;25.5500;75.7600;15.4000;10.9300;0.0000;4.9400;16.7900;39.5100;52.9400;26.5900;38.0700;40.2400;77.1500;65.7800;37.2300;77.1500;24.1400;35.8600;85.4700;25.5300;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000;11.7000
35;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;42.5000;81.2400;41.9500;70.5700;63.1900;43.8400;41.9000;41.2300;18.3900;43.5200;10.5900;41.6900;18.9800;41.6600;19.1100;89.3100;73.7300;29.2700;80.3600;19.1200;15.5300;4.9400;0.0000;19.2000;43.3600;56.6600;30.3100;41.7900;43.9600;80.8100;69.4400;40.8900;80.8100;27.8000;39.5200;89.1300;29.1900;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000;16.3000
36;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;44.6410;83.4010;38.1200;72.7110;65.3510;40.4300;45.5400;44.4900;1.4100;47.0210;11.4700;45.4600;1.9800;45.4300;1.1100;78.4500;62.8700;31.4210;64.3600;22.3800;6.5300;16.7900;19.2000;0.0000;47.0000;59.9200;33.5700;45.0500;47.2200;82.9510;71.5810;43.0310;82.9510;29.9410;41.6610;91.2710;31.3310;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400;7.1400
37;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;33.5600;55.2100;45.3400;44.5700;54.1600;58.7800;1.4600;4.6100;45.7800;2.7000;37.1700;1.6700;46.3400;1.7600;46.5000;101.8200;84.1000;35.1700;96.9000;24.6200;40.4700;39.5100;43.3600;47.0000;0.0000;16.1300;14.6800;2.8200;3.3700;54.8100;43.4400;30.0000;54.8100;26.1000;20.5300;63.1300;35.0800;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300;41.1300
38;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;40.9600;43.6700;49.5800;33.0300;42.6200;63.0200;17.1800;20.3300;58.7000;13.5100;50.9700;17.1100;59.2600;16.8800;59.4200;101.8100;75.5800;41.6200;104.6600;37.5400;53.3900;52.9400;56.6600;59.9200;16.1300;0.0000;28.4000;16.5900;13.4600;43.2700;31.9000;29.8400;43.2700;33.4300;27.8600;51.5900;41.8300;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500;54.0500
39;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;30.1000;66.8500;36.1500;56.1300;54.8200;45.8500;13.2200;12.1700;32.3500;14.9700;26.0000;13.1400;32.9100;13.1100;33.0700;91.1800;75.6000;20.9000;82.8500;11.1900;27.0400;26.5900;30.3100;33.5700;14.6800;28.4000;0.0000;12.8000;14.9800;66.3600;55.0000;27.8300;66.3600;14.7400;26.4600;74.6800;21.6700;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000;27.7000
40;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;31.2300;55.1900;43.0100;44.4600;54.6200;56.4500;2.2300;3.8800;43.8300;3.1600;37.4800;2.1500;44.3900;2.1200;44.5500;99.4900;81.7000;32.3700;94.3200;22.6700;38.5200;38.0700;41.7900;45.0500;2.8200;16.5900;12.8000;0.0000;3.3100;54.7000;43.3300;27.6000;54.7000;23.7000;18.1300;63.0200;32.9000;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800;39.1800
41;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;31.2900;52.5400;43.0700;41.8600;51.4900;56.5100;4.3400;7.1900;46.0000;0.6700;38.1300;4.2700;46.5600;4.0400;46.7200;99.5500;81.7600;33.0400;94.9900;24.8400;40.6900;40.2400;43.9600;47.2200;3.3700;13.4600;14.9800;3.3100;0.0000;52.1000;40.7300;27.6600;52.1000;23.7600;18.1900;60.4200;32.1600;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500;41.3500
42;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;47.3300;0.4900;53.5000;11.5100;23.3400;66.6500;55.8600;58.5800;81.5410;52.1900;75.6700;55.7900;82.1310;55.5600;82.2610;73.4000;53.4900;54.0300;84.1200;63.1600;77.1200;77.1500;80.8100;82.9510;54.8100;43.2700;66.3600;54.7000;52.1000;0.0000;12.0100;47.7300;0.0000;58.7400;56.0200;14.8300;51.9000;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200
43;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;35.9600;12.1800;42.1300;1.1300;15.2900;55.5700;44.4900;47.2100;70.1710;40.8200;64.9400;44.4200;70.7610;44.1900;70.8910;69.9100;43.6800;42.5400;75.3500;51.7900;65.7500;65.7800;69.4400;71.5810;43.4400;31.9000;55.0000;43.3300;40.7300;12.0100;0.0000;36.4400;12.0100;47.2500;44.5300;20.4100;40.4100;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500;67.1500
44;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;11.2100;48.1000;22.9900;37.5700;36.2500;36.4300;28.7900;31.4800;41.6210;27.8800;36.3900;28.7100;42.2110;28.6800;42.3410;79.4700;61.6800;21.9500;80.7700;23.2400;37.2000;37.2300;40.8900;43.0310;30.0000;29.8400;27.8300;27.6000;27.6600;47.7300;36.4400;0.0000;47.7300;13.4900;9.4700;56.0500;19.8200;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000;38.6000
45;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;47.3300;0.4900;53.5000;11.5100;23.3400;66.6500;55.8600;58.5800;81.5410;52.1900;75.6700;55.7900;82.1310;55.5600;82.2610;73.4000;53.4900;54.0300;84.1200;63.1600;77.1200;77.1500;80.8100;82.9510;54.8100;43.2700;66.3600;54.7000;52.1000;0.0000;12.0100;47.7300;0.0000;58.7400;56.0200;14.8300;51.9000;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200;78.5200
46;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;15.8200;58.9100;24.5300;48.3800;40.8600;34.2300;24.8900;25.7500;28.5310;23.9800;23.3000;24.8100;29.1210;24.7800;29.2510;79.5600;65.4200;9.2800;71.2300;10.1500;24.1100;24.1400;27.8000;29.9410;26.1000;33.4300;14.7400;23.7000;23.7600;58.7400;47.2500;13.4900;58.7400;0.0000;12.1300;66.7800;9.2000;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100;25.5100
47;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;13.1000;56.1900;24.8800;45.6600;38.1400;38.3200;19.3200;22.0100;40.2510;18.4100;35.0200;19.2400;40.8410;19.2100;40.9710;81.3600;63.5700;21.0000;82.6900;21.8700;35.8300;35.8600;39.5200;41.6610;20.5300;27.8600;26.4600;18.1300;18.1900;56.0200;44.5300;9.4700;56.0200;12.1300;0.0000;64.0500;20.9400;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300;37.2300
48;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;55.6500;14.3400;61.3300;19.8300;29.4500;70.8600;64.1800;66.9000;89.8610;60.5100;84.4900;64.1100;90.4510;63.8800;90.5810;61.0500;52.0600;62.2300;76.6600;71.4800;85.4400;85.4700;89.1300;91.2710;63.1300;51.5900;74.6800;63.0200;60.4200;14.8300;20.4100;56.0500;14.8300;66.7800;64.0500;0.0000;60.1000;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400;86.8400
49;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;13.3100;52.0700;20.3400;41.5400;34.0200;32.8700;33.6200;32.5700;29.9210;32.3800;24.6900;33.5400;30.5110;33.5100;30.6410;75.9000;59.4500;2.1300;72.6200;11.5400;25.5000;25.5300;29.1900;31.3310;35.0800;41.8300;21.6700;32.9000;32.1600;51.9000;40.4100;19.8200;51.9000;9.2000;20.9400;60.1000;0.0000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000
50;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
51;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
52;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
53;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
54;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
55;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
56;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
57;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
58;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
59;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
60;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
61;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
62;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
63;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
64;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
65;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
66;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
67;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
68;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
