27;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;7.3400;7.9700;42.0400;21.8400;11.8200;8.9700;29.5800;7.4300;18.4200;32.4700;20.5300;35.9200;45.0200;18.7100;0.0000;15.6200;33.7100;20.4200;10.9700;34.2500;32.4600;29.6400;29.6400;17.0600;19.9800;56.5200;53.0800;69.5100;10.3800;21.0300;1.5500;6.4100;11.2200;12.0400;14.4900;17.2700;12.6600;33.2100;41.6800;25.4500;56.2900;18.7800;23.6600;17.1800;65.3000;24.7500;13.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700;15.7700
28;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;19.9200;20.5500;54.6200;34.4200;24.4000;22.3800;42.1600;20.0100;21.3500;38.6600;9.6400;45.6100;54.7200;8.5200;15.6200;0.0000;43.9100;6.8100;13.9000;40.4400;38.6500;35.8300;35.8300;1.5500;5.8300;68.3200;64.9800;81.3200;9.8800;21.8100;14.0700;11.5700;7.7900;14.9700;17.4200;3.9700;10.4900;37.9800;49.3900;37.5700;68.4100;31.3600;35.7800;29.7600;77.4200;32.5200;26.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500;1.3500
29;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;26.3700;25.9600;14.4000;25.7400;22.2100;34.8100;39.4900;26.2800;27.0100;6.8200;52.0500;2.4300;11.5400;50.2800;33.7100;43.9100;0.0000;50.7200;30.0100;8.2200;6.8500;9.6500;9.6500;45.3900;49.7400;87.8000;84.3600;100.7900;35.3100;40.8500;32.6400;35.9200;41.8000;29.2800;36.5900;45.5100;38.5400;7.0900;53.7100;31.5400;40.1300;23.4600;32.2100;20.1900;52.3700;53.6700;22.9500;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600;45.2600
30;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;25.6200;26.2500;60.3000;40.1000;30.1000;27.6000;47.8600;25.7100;28.1600;45.4700;2.8300;52.4200;61.5300;1.7100;20.4200;6.8100;50.7200;0.0000;20.7100;47.2500;45.4600;42.6400;42.6400;6.5500;2.0500;64.1500;60.7100;77.1400;16.6900;28.6200;19.3500;18.3800;10.3500;21.7800;24.2300;8.3500;17.3000;44.7900;54.6700;43.2500;74.0900;37.0400;41.4600;35.4400;83.1000;37.8000;32.0300;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600;6.4600
31;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;6.2400;6.8700;40.9400;20.7400;10.7200;13.9900;28.4800;6.3300;7.4500;24.7600;23.5400;31.7100;40.8200;22.4200;10.9700;13.9000;30.0100;20.7100;0.0000;26.5400;24.7500;21.9300;21.9300;15.3800;19.7300;64.3900;60.9500;77.3800;5.3000;13.2100;9.4900;5.9100;16.4600;1.0700;6.5800;15.5000;8.5300;24.0800;42.0700;24.0400;54.8800;17.6800;22.2500;16.0800;63.8900;32.9400;12.6700;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500;15.2500
32;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;26.9100;26.2800;21.8900;28.5300;25.0000;35.3500;42.2800;26.8200;24.4200;2.3200;50.0800;9.9200;19.0300;48.9600;34.2500;40.4400;8.2200;47.2500;26.5400;0.0000;1.7900;4.6100;4.6100;41.9200;46.2700;88.3400;84.9000;101.3300;31.5800;35.5100;33.1800;32.1900;42.3400;25.4700;32.8600;42.0400;34.8100;3.2900;55.7800;33.5600;47.7600;25.4800;34.2300;22.2100;60.0000;55.6900;24.9700;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900;41.7900
33;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;25.1200;24.4900;20.5200;26.7400;23.2100;33.5600;40.4900;25.0300;22.6300;0.5300;48.2900;8.5500;17.6600;47.1700;32.4600;38.6500;6.8500;45.4600;24.7500;1.7900;0.0000;2.8200;2.8200;40.1300;44.4800;86.5500;83.1100;99.5400;29.7900;34.0000;31.3900;30.4000;40.5500;23.6800;31.0700;40.2500;33.0200;1.5000;53.9900;31.7700;46.4200;23.6900;32.4400;20.4200;58.6600;53.9000;23.1800;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000;40.0000
34;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;22.3000;21.6700;23.3300;27.7900;24.3300;30.7400;41.6100;22.2100;19.8100;2.8300;45.4700;11.3600;20.4700;44.3500;29.6400;35.8300;9.6500;42.6400;21.9300;4.6100;2.8200;0.0000;0.0000;37.3100;41.6600;83.7300;80.2900;96.7200;26.9700;32.4700;28.5700;27.5800;37.7300;20.8600;28.2500;37.4300;30.2000;3.5700;55.0300;32.8100;48.6800;24.7300;33.4800;21.4600;60.9200;51.8200;24.2200;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800
35;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;22.3000;21.6700;23.3300;27.7900;24.3300;30.7400;41.6100;22.2100;19.8100;2.8300;45.4700;11.3600;20.4700;44.3500;29.6400;35.8300;9.6500;42.6400;21.9300;4.6100;2.8200;0.0000;0.0000;37.3100;41.6600;83.7300;80.2900;96.7200;26.9700;32.4700;28.5700;27.5800;37.7300;20.8600;28.2500;37.4300;30.2000;3.5700;55.0300;32.8100;48.6800;24.7300;33.4800;21.4600;60.9200;51.8200;24.2200;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800;37.1800
36;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;21.4700;22.1000;56.1700;35.9700;25.9500;23.8200;43.7100;21.5600;22.8300;40.1400;9.3800;47.0900;56.2000;8.2600;17.0600;1.5500;45.3900;6.5500;15.3800;41.9200;40.1300;37.3100;37.3100;0.0000;5.4700;69.7600;66.4200;82.7600;11.3200;23.1600;15.5100;13.0100;9.2300;16.4500;18.8600;2.7700;11.9300;39.4600;50.8300;39.1200;69.9600;32.9100;37.3300;31.3100;78.9700;33.9600;27.9000;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300;1.8300
37;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;24.7000;25.3300;59.3110;39.1110;29.1800;26.7500;46.9400;24.7900;27.1800;44.4900;4.8800;51.4400;60.5500;3.7600;19.9800;5.8300;49.7400;2.0500;19.7300;46.2700;44.4800;41.6600;41.6600;5.4700;0.0000;65.7000;62.2600;78.6900;15.7100;27.5300;18.4300;17.4000;10.5800;20.8000;23.2500;7.1400;16.3200;43.8100;53.7500;42.2610;73.1010;36.0510;40.4710;34.4510;82.1110;36.8800;31.0410;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900;4.7900
38;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;61.4300;62.0600;91.1300;74.1300;65.9100;63.8900;68.9600;61.5200;71.8400;86.5600;61.9000;90.0100;96.8900;62.8700;56.5200;68.3200;87.8000;64.1500;64.3900;88.3400;86.5500;83.7300;83.7300;69.7600;65.7000;0.0000;4.0900;17.4000;63.6900;74.4300;55.1800;59.7200;60.5300;65.4600;67.8000;70.0600;65.9700;87.3000;59.9900;66.8800;69.5300;72.8700;67.1000;71.2100;57.4100;43.0600;67.8000;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600;68.5600
39;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;57.9900;58.6200;87.7900;70.7900;62.4700;60.4500;65.6200;58.0800;68.4000;83.1200;58.4600;86.5700;93.5500;59.4300;53.0800;64.9800;84.3600;60.7100;60.9500;84.9000;83.1100;80.2900;80.2900;66.4200;62.2600;4.0900;0.0000;17.2000;60.3500;71.0900;51.8400;56.3800;57.1900;62.0200;64.4600;66.7200;62.6300;83.8600;56.6500;63.5400;66.1900;69.4300;63.7600;67.8300;54.0700;39.7200;64.4200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200;65.2200
40;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;74.4200;75.0500;104.1300;87.1300;78.9000;76.8800;81.9600;74.5100;84.8300;99.5500;74.8900;103.0000;109.8900;75.8600;69.5100;81.3200;100.7900;77.1400;77.3800;101.3300;99.5400;96.7200;96.7200;82.7600;78.6900;17.4000;17.2000;0.0000;76.6900;87.4300;68.1800;72.7200;73.5300;78.4500;80.8000;83.0600;78.9700;100.2900;72.9900;79.8800;82.5300;85.8600;80.1000;84.2100;70.4100;56.0600;80.8000;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600;81.5600
41;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.5400;12.1700;46.2400;26.0400;16.0200;17.5000;33.7800;11.6300;12.7500;29.8000;19.5200;37.0100;46.1200;18.4000;10.3800;9.8800;35.3100;16.6900;5.3000;31.5800;29.7900;26.9700;26.9700;11.3200;15.7100;63.6900;60.3500;76.6900;0.0000;14.6000;8.8600;4.0400;12.2800;6.3700;8.7800;11.3200;3.2800;29.3800;47.3700;29.3400;60.1800;22.9800;27.5500;21.3800;69.1900;31.9900;17.9700;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000;11.2000
42;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;19.4500;20.0800;54.1500;33.9500;23.9300;27.2000;41.6900;19.5400;16.4100;34.5300;31.4500;42.5500;51.6600;30.3300;21.0300;21.8100;40.8500;28.6200;13.2100;35.5100;34.0000;32.4700;32.4700;23.1600;27.5300;74.4300;71.0900;87.4300;14.6000;0.0000;19.4800;15.9000;24.1600;14.2800;7.5100;20.9100;12.1000;35.5000;55.2800;37.2500;68.0900;30.8900;35.4600;29.2900;77.1000;42.6100;25.8800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800;23.0800
43;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;6.2700;6.9000;40.9500;20.7500;10.7500;8.7300;28.5100;6.3600;16.9400;31.4000;19.4600;34.8500;43.9500;17.6400;1.5500;14.0700;32.6400;19.3500;9.4900;33.1800;31.3900;28.5700;28.5700;15.5100;18.4300;55.1800;51.8400;68.1800;8.8600;19.4800;0.0000;4.8600;9.6700;10.5600;12.9400;15.7200;11.1100;32.1400;40.3200;23.9000;54.7400;17.6900;22.1100;16.0900;63.7500;23.4500;12.6800;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200;14.2200
44;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;11.0700;11.7000;45.7500;25.5500;15.5500;13.5300;33.3100;11.1600;13.3600;30.4100;21.2100;37.6200;46.7300;20.0900;6.4100;11.5700;35.9200;18.3800;5.9100;32.1900;30.4000;27.5800;27.5800;13.0100;17.4000;59.7200;56.3800;72.7200;4.0400;15.9000;4.8600;0.0000;14.1000;6.9800;9.3600;13.1400;7.3200;29.9900;44.8600;28.7000;59.5400;22.4900;26.9100;20.8900;68.5500;27.9900;17.4800;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200;12.9200
45;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;15.4300;16.0600;50.1300;29.9300;19.9100;17.8900;37.6700;15.5200;23.9100;40.5600;10.2500;44.0100;53.1100;8.6400;11.2200;7.7900;41.8000;10.3500;16.4600;42.3400;40.5500;37.7300;37.7300;9.2300;10.5800;60.5300;57.1900;73.5300;12.2800;24.1600;9.6700;14.1000;0.0000;17.5300;20.0000;9.5300;13.0700;40.5400;44.9600;33.1400;63.9800;26.8700;31.3500;25.2700;72.9900;28.0900;21.8600;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300;8.0300
46;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;6.4100;7.0400;41.1100;20.9100;10.8900;14.1600;28.6500;6.5000;6.7200;23.6900;24.6100;30.9800;40.0900;23.4900;12.0400;14.9700;29.2800;21.7800;1.0700;25.4700;23.6800;20.8600;20.8600;16.4500;20.8000;65.4600;62.0200;78.4500;6.3700;14.2800;10.5600;6.9800;17.5300;0.0000;7.6500;16.5700;9.6000;23.0100;42.2400;24.2100;55.0500;17.8500;22.4200;16.2500;64.0600;34.0100;12.8400;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200;16.3200
47;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;12.8200;13.4500;47.5200;27.3200;17.3000;20.5700;35.0600;12.9100;12.4200;31.0800;27.0600;38.2900;47.4000;25.9400;14.4900;17.4200;36.5900;24.2300;6.5800;32.8600;31.0700;28.2500;28.2500;18.8600;23.2500;67.8000;64.4600;80.8000;8.7800;7.5100;12.9400;9.3600;20.0000;7.6500;0.0000;18.8600;11.6400;30.6600;48.6500;30.6200;61.4600;24.2600;28.8300;22.6600;70.4700;35.9800;19.2500;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400;18.7400
48;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;21.7400;22.3700;56.4400;36.2400;26.2200;23.9400;43.9800;21.8300;22.9500;40.2600;11.1800;47.2100;56.3200;10.0600;17.2700;3.9700;45.5100;8.3500;15.5000;42.0400;40.2500;37.4300;37.4300;2.7700;7.1400;70.0600;66.7200;83.0600;11.3200;20.9100;15.7200;13.1400;9.5300;16.5700;18.8600;0.0000;12.1200;39.5800;51.0200;39.5400;70.3800;33.1800;37.7500;31.5800;79.3900;34.1500;28.1700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700;4.0700
49;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;14.7700;15.4000;49.4700;29.2700;19.2500;19.7800;37.0100;14.8600;15.9800;33.0300;20.1300;40.2400;49.3500;19.0100;12.6600;10.4900;38.5400;17.3000;8.5300;34.8100;33.0200;30.2000;30.2000;11.9300;16.3200;65.9700;62.6300;78.9700;3.2800;12.1000;11.1100;7.3200;13.0700;9.6000;11.6400;12.1200;0.0000;32.6100;50.6000;32.5700;63.4100;26.2100;30.7800;24.6100;72.4200;34.1700;21.2000;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100;11.8100
50;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;25.8700;25.2400;20.7600;25.2500;21.7600;34.3100;39.0400;25.7800;22.0300;1.3300;47.6200;8.7900;17.9000;46.5000;33.2100;37.9800;7.0900;44.7900;24.0800;3.2900;1.5000;3.5700;3.5700;39.4600;43.8100;87.3000;83.8600;100.2900;29.3800;35.5000;32.1400;29.9900;40.5400;23.0100;30.6600;39.5800;32.6100;0.0000;52.4900;30.2700;46.1400;22.1900;30.9400;18.9200;58.3800;52.4000;21.6800;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300;39.3300
51;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;36.4700;37.1000;46.0700;31.1600;39.7500;39.7800;14.2200;36.5600;48.6000;53.8200;54.7800;55.6100;50.8900;52.9600;41.6800;49.3900;53.7100;54.6700;42.0700;55.7800;53.9900;55.0300;55.0300;50.8300;53.7500;59.9900;56.6500;72.9900;47.3700;55.2800;40.3200;44.8600;44.9600;42.2400;48.6500;51.0200;50.6000;52.4900;0.0000;23.8300;24.9100;30.4500;22.0400;37.9700;28.8000;16.9300;34.5000;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700;49.5700
52;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;18.5000;18.0900;25.8200;8.9400;17.5300;18.9900;10.3100;18.4100;30.5700;31.6000;43.3600;33.2400;31.5800;41.5400;25.4500;37.5700;31.5400;43.2500;24.0400;33.5600;31.7700;32.8100;32.8100;39.1200;42.2610;66.8800;63.5400;79.8800;29.3400;37.2500;23.9000;28.7000;33.1400;24.2100;30.6200;39.5400;32.5700;30.2700;23.8300;0.0000;36.7200;8.1700;1.7900;15.6900;45.6400;23.8200;12.2200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200;38.1200
53;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;49.2800;49.9100;29.7400;42.0600;52.5600;51.8800;27.0300;49.3700;61.4100;46.9500;74.2000;39.1900;31.8400;72.3800;56.2900;68.4100;40.1300;74.0900;54.8800;47.7600;46.4200;48.6800;48.6800;69.9600;73.1010;69.5300;66.1900;82.5300;60.1800;68.0900;54.7400;59.5400;63.9800;55.0500;61.4600;70.3800;63.4100;46.1400;24.9100;36.7200;0.0000;43.3500;34.9400;50.8700;12.2400;41.7700;47.4000;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600;68.9600
54;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;11.4400;11.0300;23.2600;3.0600;10.4700;19.8800;16.9300;11.3500;24.2200;23.5200;37.1200;25.1600;29.0200;35.3300;18.7800;31.3600;23.4600;37.0400;17.6800;25.4800;23.6900;24.7300;24.7300;32.9100;36.0510;72.8700;69.4300;85.8600;22.9800;30.8900;17.6900;22.4900;26.8700;17.8500;24.2600;33.1800;26.2100;22.1900;30.4500;8.1700;43.3500;0.0000;8.8700;8.6600;52.2400;30.3300;5.1900;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100;31.9100
55;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;19.1700;18.7600;24.0300;9.6100;18.2000;19.2500;8.5200;19.0800;28.7800;32.2700;41.5700;34.0300;29.7900;39.7500;23.6600;35.7800;32.2100;41.4600;22.2500;34.2300;32.4400;33.4800;33.4800;37.3300;40.4710;67.1000;63.7600;80.1000;27.5500;35.4600;22.1100;26.9100;31.3500;22.4200;28.8300;37.7500;30.7800;30.9400;22.0400;1.7900;34.9400;8.8700;0.0000;16.3500;43.8500;24.0400;12.8800;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300;36.3300
56;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;9.8400;9.4300;31.9200;11.7200;8.8700;18.2800;24.4500;9.7500;22.6200;20.2500;35.5200;21.8900;31.0000;33.7300;17.1800;29.7600;20.1900;35.4400;16.0800;22.2100;20.4200;21.4600;21.4600;31.3100;34.4510;71.2100;67.8300;84.2100;21.3800;29.2900;16.0900;20.8900;25.2700;16.2500;22.6600;31.5800;24.6100;18.9200;37.9700;15.6900;50.8700;8.6600;16.3500;0.0000;59.8400;37.9300;5.2700;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100;30.3100
57;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;58.2900;58.9200;41.9800;52.9800;61.5700;60.8900;36.0400;58.3800;70.4200;59.1900;83.2100;51.4300;44.0800;81.3900;65.3000;77.4200;52.3700;83.1000;63.8900;60.0000;58.6600;60.9200;60.9200;78.9700;82.1110;57.4100;54.0700;70.4100;69.1900;77.1000;63.7500;68.5500;72.9900;64.0600;70.4700;79.3900;72.4200;58.3800;28.8000;45.6400;12.2400;52.2400;43.8500;59.8400;0.0000;45.7300;56.3200;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700;77.9700
58;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;29.5200;30.1500;48.0700;31.0700;34.0000;28.3100;25.9000;29.6100;40.3900;53.7300;37.9100;55.3700;53.8300;36.0900;24.7500;32.5200;53.6700;37.8000;32.9400;55.6900;53.9000;51.8200;51.8200;33.9600;36.8800;43.0600;39.7200;56.0600;31.9900;42.6100;23.4500;27.9900;28.0900;34.0100;35.9800;34.1500;34.1700;52.4000;16.9300;23.8200;41.7700;30.3300;24.0400;37.9300;45.7300;0.0000;34.4100;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000;32.7000
59;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;6.4300;6.0200;28.4500;8.2500;5.4600;14.8700;20.9800;6.3400;19.2100;23.0100;32.1100;24.6500;33.7600;30.3200;13.7700;26.3500;22.9500;32.0300;12.6700;24.9700;23.1800;24.2200;24.2200;27.9000;31.0410;67.8000;64.4200;80.8000;17.9700;25.8800;12.6800;17.4800;21.8600;12.8400;19.2500;28.1700;21.2000;21.6800;34.5000;12.2200;47.4000;5.1900;12.8800;5.2700;56.3200;34.4100;0.0000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000;26.9000
